Timestamp,Lock Type,Spot,Pin Height,Pin Type,Hard Mode
2025-03-07 14:24:40,6 Pin,1,1,spool,No
2025-03-07 14:24:40,6 Pin,2,8,spool,No
2025-03-07 14:24:40,6 Pin,3,5,spool,No
2025-03-07 14:24:40,6 Pin,4,4,spool,No
2025-03-07 14:24:40,6 Pin,5,6,spool,No
2025-03-07 14:24:40,6 Pin,6,2,serrated,No

2025-03-07 14:24:42,6 Pin,1,1,serrated,No
2025-03-07 14:24:42,6 Pin,2,7,serrated,No
2025-03-07 14:24:42,6 Pin,3,8,serrated,No
2025-03-07 14:24:42,6 Pin,4,6,spool,No
2025-03-07 14:24:42,6 Pin,5,2,serrated,No
2025-03-07 14:24:42,6 Pin,6,5,serrated,No

2025-03-07 14:24:43,6 Pin,1,2,spool,No
2025-03-07 14:24:43,6 Pin,2,2,spool,No
2025-03-07 14:24:43,6 Pin,3,8,serrated,No
2025-03-07 14:24:43,6 Pin,4,8,serrated,No
2025-03-07 14:24:43,6 Pin,5,4,spool,No
2025-03-07 14:24:43,6 Pin,6,1,serrated,No

2025-03-07 14:24:44,6 Pin,1,8,spool,No
2025-03-07 14:24:44,6 Pin,2,7,serrated,No
2025-03-07 14:24:44,6 Pin,3,2,spool,No
2025-03-07 14:24:44,6 Pin,4,5,spool,No
2025-03-07 14:24:44,6 Pin,5,7,spool,No
2025-03-07 14:24:44,6 Pin,6,2,spool,No

2025-03-07 14:24:44,6 Pin,1,5,spool,No
2025-03-07 14:24:44,6 Pin,2,4,spool,No
2025-03-07 14:24:44,6 Pin,3,5,serrated,No
2025-03-07 14:24:44,6 Pin,4,2,serrated,No
2025-03-07 14:24:44,6 Pin,5,6,spool,No
2025-03-07 14:24:44,6 Pin,6,5,spool,No

2025-03-07 14:24:45,6 Pin,1,2,spool,No
2025-03-07 14:24:45,6 Pin,2,6,spool,No
2025-03-07 14:24:45,6 Pin,3,2,spool,No
2025-03-07 14:24:45,6 Pin,4,3,serrated,No
2025-03-07 14:24:45,6 Pin,5,3,serrated,No
2025-03-07 14:24:45,6 Pin,6,4,spool,No

2025-03-07 14:25:08,6 Pin,1,1,serrated,No
2025-03-07 14:25:08,6 Pin,2,1,spool,No
2025-03-07 14:25:08,6 Pin,3,5,serrated,No
2025-03-07 14:25:08,6 Pin,4,6,spool,No
2025-03-07 14:25:08,6 Pin,5,3,spool,No
2025-03-07 14:25:08,6 Pin,6,5,spool,No

2025-03-07 14:25:10,6 Pin,1,1,serrated,No
2025-03-07 14:25:10,6 Pin,2,7,serrated,No
2025-03-07 14:25:10,6 Pin,3,3,serrated,No
2025-03-07 14:25:10,6 Pin,4,6,spool,No
2025-03-07 14:25:10,6 Pin,5,1,serrated,No
2025-03-07 14:25:10,6 Pin,6,2,spool,No

2025-03-07 14:25:11,6 Pin,1,2,spool,No
2025-03-07 14:25:11,6 Pin,2,7,serrated,No
2025-03-07 14:25:11,6 Pin,3,7,spool,No
2025-03-07 14:25:11,6 Pin,4,4,serrated,No
2025-03-07 14:25:11,6 Pin,5,1,spool,No
2025-03-07 14:25:11,6 Pin,6,5,spool,No

2025-03-07 14:25:15,6 Pin,1,5,spool,No
2025-03-07 14:25:15,6 Pin,2,1,standard,No
2025-03-07 14:25:15,6 Pin,3,8,spool,No
2025-03-07 14:25:15,6 Pin,4,1,standard,No
2025-03-07 14:25:15,6 Pin,5,4,spool,No
2025-03-07 14:25:15,6 Pin,6,1,spool,No

2025-03-07 14:25:17,6 Pin,1,1,standard,No
2025-03-07 14:25:17,6 Pin,2,3,spool,No
2025-03-07 14:25:17,6 Pin,3,6,spool,No
2025-03-07 14:25:17,6 Pin,4,7,spool,No
2025-03-07 14:25:17,6 Pin,5,1,standard,No
2025-03-07 14:25:17,6 Pin,6,5,standard,No

2025-03-07 14:25:18,6 Pin,1,4,standard,No
2025-03-07 14:25:18,6 Pin,2,5,standard,No
2025-03-07 14:25:18,6 Pin,3,6,spool,No
2025-03-07 14:25:18,6 Pin,4,4,spool,No
2025-03-07 14:25:18,6 Pin,5,4,spool,No
2025-03-07 14:25:18,6 Pin,6,3,spool,No

2025-03-07 14:25:19,6 Pin,1,6,standard,No
2025-03-07 14:25:19,6 Pin,2,3,spool,No
2025-03-07 14:25:19,6 Pin,3,1,standard,No
2025-03-07 14:25:19,6 Pin,4,7,standard,No
2025-03-07 14:25:19,6 Pin,5,3,standard,No
2025-03-07 14:25:19,6 Pin,6,5,standard,No

2025-03-07 14:25:21,6 Pin,1,3,spool,No
2025-03-07 14:25:21,6 Pin,2,2,spool,No
2025-03-07 14:25:21,6 Pin,3,3,spool,No
2025-03-07 14:25:21,6 Pin,4,7,standard,No
2025-03-07 14:25:21,6 Pin,5,3,standard,No
2025-03-07 14:25:21,6 Pin,6,8,standard,No

2025-03-07 14:25:24,6 Pin,1,8,spool,No
2025-03-07 14:25:24,6 Pin,2,7,serrated,No
